City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,Lautoka,-17.6167,177.4667,76.86,78,40,4.61,FJ,1732996023
81,Santa Rosalía,27.3167,-112.2833,71.74,38,100,7.61,MX,1732996024
82,Hawaiian Paradise Park,19.5933,-154.9731,76.23,77,40,3.44,US,1732996026
83,Afaahiti,-17.75,-149.2833,78.57,82,42,12.68,PF,1732996027
84,Cologne,50.9333,6.95,39.27,77,0,9.22,DE,1732995828
85,Loango,-4.6719,11.8312,78.1,87,59,7.36,CG,1732996029
86,Holyhead,53.3062,-4.6321,55.4,88,75,23.02,GB,1732996030
87,Piñon Hills,34.4333,-117.6467,58.01,17,97,3.62,US,1732996031
88,Boa Vista,2.8197,-60.6733,93.18,43,75,5.75,BR,1732996025
89,Tazovsky,67.4667,78.7,15.91,91,100,19.84,RU,1732996034
90,Jatiroto,-7.8833,111.1167,74.52,96,100,2.24,ID,1732996035
91,Al Hārithah,30.7186,47.7208,46.36,53,0,9.22,IQ,1732996036
92,Susuman,62.7833,148.1667,8.38,96,100,1.34,RU,1732996037
93,Caleta de Carquín,-11.0925,-77.6267,71.35,80,69,11.9,PE,1732996038
94,Jamestown,42.097,-79.2353,27.01,66,100,20.71,US,1732996039
95,Quryq,43.2,51.65,39.42,79,96,8.1,KZ,1732996040
96,Dunedin,-45.8742,170.5036,58.41,48,0,2.62,NZ,1732995793
97,Brookings,44.3114,-96.7984,15.19,64,100,5.99,US,1732996043
98,Edinburgh of the Seven Seas,-37.0676,-12.3116,63.12,93,100,32.17,SH,1732996044
99,Mahon,39.8885,4.2658,57.76,82,40,3.44,ES,1732996045
100,Goldsboro,35.3849,-77.9928,46.2,30,0,12.66,US,1732996046
101,Meadow Lake,34.8014,-106.5436,47.17,27,100,7.87,US,1732996047
102,Naryan-Mar,67.6713,53.087,24.28,80,95,18.37,RU,1732996049
103,Ust-Nera,64.5667,143.2,-8.59,100,58,0.94,RU,1732996050
104,Tissemsilt,35.6072,1.8108,56.86,56,1,5.3,DZ,1732996051
105,Isangel,-19.55,169.2667,79.11,78,4,6.42,VU,1732996052
106,Chonchi,-42.6128,-73.8092,55.98,63,87,2.28,CL,1732996053
107,Weno,7.4515,151.8468,83.68,77,57,20.02,FM,1732996054
108,Loen,7.7601,168.2307,81.97,80,100,23.49,MH,1732996057
109,Messaad,34.1543,3.5031,58.14,50,0,6.76,DZ,1732996058
110,Kani Keli,-12.9536,45.1033,81.66,79,81,10.85,YT,1732996059
111,Alotau,-10.3069,150.4462,78.12,95,31,2.17,PG,1732996060
112,Minas de Marcona,-15.2119,-75.1103,69.55,63,100,16.64,PE,1732996061
113,Rosario de Mora,13.5753,-89.2089,85.08,51,0,12.66,SV,1732996062
114,Altai,46.3722,96.2583,11.17,68,93,2.84,MN,1732996063
115,Nizhniy Kuranakh,58.8353,125.4869,-5.6,99,100,3.44,RU,1732996065
116,Glace Bay,46.1969,-59.957,41.36,61,6,4.0,CA,1732996066
117,Vasyurinskaya,45.1181,39.424,33.69,80,20,10.02,RU,1732996067
118,Kyosai,34.8503,128.5886,47.05,68,9,6.8,KR,1732996068
119,Avarua,-21.2078,-159.775,78.85,73,20,12.66,CK,1732996069
120,Atafu Village,-8.5421,-172.5159,83.37,70,100,18.3,TK,1732996070
121,Lata,40.1629,-8.3327,58.32,75,100,3.98,PT,1732996072
122,Huangmei,30.1924,116.025,50.72,50,0,2.28,CN,1732996073
123,Yunak,38.8142,31.7322,34.27,73,17,3.53,TR,1732996074
124,Hithadhoo,-0.6,73.0833,80.35,81,100,19.19,MV,1732996075
125,Ouallam,14.3188,2.0866,73.63,14,65,9.37,NE,1732996076
126,Mil’kovo,55.6078,37.7956,34.95,63,100,8.03,RU,1732996077
127,Pemangkat,1.1667,108.9667,78.49,87,100,2.98,ID,1732996078
128,Enewetak,11.3474,162.3373,82.71,78,100,22.08,MH,1732996080
129,Sitka,57.0531,-135.33,28.29,59,20,5.75,US,1732996081
130,Torbat-e Jām,35.244,60.6225,41.25,65,59,7.4,IR,1732995834
131,Bakchar,57.0186,82.0711,14.7,97,85,3.15,RU,1732996083
132,Nagato,34.3833,131.2,52.43,68,100,8.32,JP,1732996084
133,Fort St. John,56.2499,-120.8529,-13.11,77,75,6.91,CA,1732996085
134,West Island,-12.1568,96.8225,78.78,94,100,3.44,CC,1732996008
135,Walvis Bay,-22.9575,14.5053,60.82,85,4,5.48,NA,1732996088
136,Mata-Utu,-13.2816,-176.1745,81.64,76,100,6.78,WF,1732996089
137,Bhamo,24.2667,97.2333,63.39,65,100,1.16,MM,1732996090
138,Ushuaia,-54.8,-68.3,49.66,57,75,27.63,AR,1732996091
139,Iskateley,67.6803,53.1512,24.37,81,94,18.21,RU,1732996092
140,Kupang,-10.1667,123.5833,81.18,94,100,3.44,ID,1732996093
141,Igarka,67.4667,86.5833,9.77,80,100,24.2,RU,1732996094
142,St. John's,47.5649,-52.7093,39.13,95,100,9.22,CA,1732996096
143,Plastun,44.7561,136.2939,20.52,60,1,8.59,RU,1732996097
144,Mount Pearl,47.5166,-52.7813,38.71,95,100,9.22,CA,1732996098
